id,voted
e99d2e89fb5b6b4e3f501a0836e071cc,Conservative
ca530285b593ad370c84521aaa2b9520,Other
25325f48b51b015b78245e09d77fd70f,Conservative
ff76e9f71a9b451ee73c9e0e8acd69fd,Labour
7b457efc389692e01ac7129ea37ead55,Labour
88c3e29546b95349fac8a4a11afd3dd6,Conservative
92786bf8539d8d43efefd65f6730aa5e,Conservative
e7d6cd4192f21504b078946bcb409d67,Conservative
dcc1c33d92818048fa6c751768de961e,Labour
9cad13b97d98cbfca2234fdd5d75af7c,Conservative
8cb854de82884a8af762850b433e1e71,Conservative
7a499df7ccd61b5e25eb2eeb11aa7d21,Labour
8a2faef35fcd4fb95e09e32422d2bf76,Conservative
4ee6bb8fc1b187f183326109a15c8b1d,Conservative
d88de1a2adab52bac28d95c12bcb81ff,Conservative
3a4efa50dec5c247e70da3ec1248f94a,Conservative
6791b4f781393a20a80ae65281ce3a20,Labour
41d9849bb6b46d27e02581ed968a004e,Labour
9ddcef1502bb70baf755ae7c2584cf64,Labour
767ebea91595f2803078ec4f8835d2aa,Other
d3cd62550e5c266deaf7d6925a21d1c2,Conservative
8a230852f6c5eaaca7e279c4ee70aa86,Labour
64eabdf61f1680fa9059b88596b47219,Labour
d1fd53e28e1c282bc92be868ce28a32f,Labour
9decc6bde12d10f787dd4ffafc47c835,Conservative
3fc2e3bcae64c9648b5e42b1130eb86b,Conservative
c32e8accfd9b188d75a0b939ac121213,Conservative
60fe4d65e89c7d94672c6eb6eb085108,Conservative
c233d9ca7334abea7694dcc57986f306,Conservative
2c456a8f3735999c36b258628bc0824e,Conservative
05f94c1c38d998231c235c8eeb7ccaae,Labour
cbfca4f2ff7ee41ed36df19b9aef8e6c,Conservative
3e65a76be85112048bbda79a78a1b9bb,Labour
910f8c91f71489014890f8266f822fc8,Conservative
d7acc82329cbe98f62f5dd4d379975de,Labour
fb100c5136180ae03b01d7b703d6856b,Conservative
3fe1af968242b13849e69ac033517fef,Conservative
